date,mxn
5/24/2016,18.466471
5/25/2016,18.4923
5/26/2016,18.43998
5/27/2016,18.44809
5/30/2016,18.478251
5/31/2016,18.465401
6/1/2016,18.50219
6/2/2016,18.670349
6/3/2016,18.593691
6/6/2016,18.675579
6/7/2016,18.386021
6/8/2016,18.11755
6/9/2016,18.250549
6/10/2016,18.62908
6/13/2016,18.83597
6/14/2016,18.9207
6/15/2016,18.89682
6/16/2016,18.907471
6/17/2016,18.838909
6/20/2016,18.63069
6/21/2016,18.63245
6/22/2016,18.40464
6/23/2016,18.433901
6/24/2016,18.897421
6/27/2016,19.11046
6/28/2016,18.80818
6/29/2016,18.51009
6/30/2016,18.32295
7/1/2016,18.34774
7/4/2016,18.43112
7/5/2016,18.8235
7/6/2016,18.747471
7/7/2016,18.810749
7/8/2016,18.505289
7/11/2016,18.46422
7/12/2016,18.3326
7/13/2016,18.37775
7/14/2016,18.366051
7/15/2016,18.598049
7/18/2016,18.38158
7/19/2016,18.490049
7/20/2016,18.67205
7/21/2016,18.56431
7/22/2016,18.54122
7/25/2016,18.77339
7/26/2016,18.75145
7/27/2016,18.822201
7/28/2016,18.891821
7/29/2016,18.747049
8/1/2016,18.85985
8/2/2016,18.93358
8/3/2016,18.88295
8/4/2016,18.89806
8/5/2016,18.751511
8/8/2016,18.54965
8/9/2016,18.43685
8/10/2016,18.408739
8/11/2016,18.232
8/12/2016,18.25927
8/15/2016,18.077841
8/16/2016,18.056
8/17/2016,18.108601
8/18/2016,18.17207
8/19/2016,18.215
8/22/2016,18.298519
8/23/2016,18.526649
8/24/2016,18.4657
8/25/2016,18.35968
8/26/2016,18.588221
8/29/2016,18.633089
8/30/2016,18.7945
8/31/2016,18.794201
9/1/2016,18.742689
9/2/2016,18.579201
9/5/2016,18.587601
9/6/2016,18.260201
9/7/2016,18.390551
9/8/2016,18.661699
9/9/2016,18.89587
9/12/2016,18.81966
9/13/2016,19.109671
9/14/2016,19.281349
9/15/2016,19.3498
9/16/2016,19.61068
9/19/2016,19.66625
9/20/2016,19.83132
9/21/2016,19.72068
9/22/2016,19.62435
9/23/2016,19.78194
9/26/2016,19.87772
9/27/2016,19.371901
9/28/2016,19.3414
9/29/2016,19.544291
9/30/2016,19.368931
10/3/2016,19.29631
10/4/2016,19.31329
10/5/2016,19.208799
10/6/2016,19.2281
10/7/2016,19.29141
10/10/2016,18.908649
10/11/2016,18.874849
10/12/2016,18.937851
10/13/2016,18.95192
10/14/2016,19.00231
10/17/2016,18.85338
10/18/2016,18.59973
10/19/2016,18.520149
10/20/2016,18.5902
10/21/2016,18.584629
10/24/2016,18.544661
10/25/2016,18.52894
10/26/2016,18.69264
10/27/2016,18.82313
10/28/2016,18.9657
10/31/2016,18.862
11/1/2016,19.1724
11/2/2016,19.341141
11/3/2016,19.145901
11/4/2016,19.01053
11/7/2016,18.54986
11/8/2016,18.3006
11/9/2016,19.88341
11/10/2016,20.50701
11/11/2016,20.736839
11/14/2016,20.71982
11/15/2016,20.30665
11/16/2016,20.206751
11/17/2016,20.4135
11/18/2016,20.61997
11/21/2016,20.439171
11/22/2016,20.601311
11/23/2016,20.6408
11/24/2016,20.7033
11/25/2016,20.6735
11/28/2016,20.612289
11/29/2016,20.62455
11/30/2016,20.562149
12/1/2016,20.75985
12/2/2016,20.60601
12/5/2016,20.565001
12/6/2016,20.391899
12/7/2016,20.325291
12/8/2016,20.30275
12/9/2016,20.373631
12/12/2016,20.1936
12/13/2016,20.26795
12/14/2016,20.47847
12/15/2016,20.33165
12/16/2016,20.40959
12/19/2016,20.3622
12/20/2016,20.44738
12/21/2016,20.55761
12/22/2016,20.746639
12/23/2016,20.643419
12/26/2016,20.624901
12/27/2016,20.75935
12/28/2016,20.70509
12/29/2016,20.702
12/30/2016,20.71804
1/2/2017,20.740511
1/3/2017,21.12022
1/4/2017,21.47965
1/5/2017,21.385469
1/6/2017,21.21653
1/9/2017,21.3591
1/10/2017,21.81213
1/11/2017,21.90465
1/12/2017,21.772051
1/13/2017,21.470289
1/16/2017,21.677219
1/17/2017,21.51132
1/18/2017,21.90917
1/19/2017,21.921989
1/20/2017,21.576651
1/23/2017,21.325199
1/24/2017,21.506701
1/25/2017,21.0553
1/26/2017,21.21216
1/27/2017,20.859529
1/30/2017,20.76749
1/31/2017,20.805099
2/1/2017,20.71018
2/2/2017,20.528271
2/3/2017,20.33626
2/6/2017,20.54472
2/7/2017,20.608879
2/8/2017,20.51235
2/9/2017,20.361589
2/10/2017,20.32498
2/13/2017,20.275999
2/14/2017,20.27314
2/15/2017,20.286551
2/16/2017,20.397449
2/17/2017,20.412491
2/20/2017,20.35701
2/21/2017,19.99926
2/22/2017,19.889799
2/23/2017,19.67976
2/24/2017,19.91078
2/27/2017,19.8972
2/28/2017,20.1101
3/1/2017,19.85146
3/2/2017,20.003349
3/3/2017,19.50329
3/6/2017,19.60214
3/7/2017,19.479679
3/8/2017,19.678591
3/9/2017,19.828079
3/10/2017,19.594101
3/13/2017,19.62001
3/14/2017,19.6539
3/15/2017,19.232201
3/16/2017,19.2344
3/17/2017,19.075991
3/20/2017,19.00639
3/21/2017,19.094801
3/22/2017,19.015909
3/23/2017,18.942511
3/24/2017,18.74823
3/27/2017,18.873449
3/28/2017,18.98951
3/29/2017,18.706499
3/30/2017,18.726231
3/31/2017,18.691589
4/3/2017,18.697901
4/4/2017,18.814791
4/5/2017,18.799801
4/6/2017,18.742901
4/7/2017,18.651979
4/10/2017,18.689831
4/11/2017,18.753599
4/12/2017,18.55456
4/13/2017,18.566719
4/14/2017,18.49655
4/17/2017,18.499559
4/18/2017,18.58403
4/19/2017,18.8589
4/20/2017,18.81171
4/21/2017,18.797001
4/24/2017,18.813101
4/25/2017,18.866249
4/26/2017,19.16316
4/27/2017,19.055901
4/28/2017,18.809139
5/1/2017,18.72855
5/2/2017,18.75318
5/3/2017,18.8277
5/4/2017,19.041
5/5/2017,18.946671
5/8/2017,19.191851
5/9/2017,19.1675
5/10/2017,19.025881
5/11/2017,18.814699
5/12/2017,18.782009
5/15/2017,18.6861
5/16/2017,18.6805
5/17/2017,18.941971
5/18/2017,18.837681
5/19/2017,18.708191
5/22/2017,18.70463
5/23/2017,18.64859
5/24/2017,18.438511
5/25/2017,18.49165
5/26/2017,18.4835
5/29/2017,18.4701
5/30/2017,18.718769
5/31/2017,18.635349
6/1/2017,18.645149
6/2/2017,18.665991
6/5/2017,18.332001
6/6/2017,18.25329
6/7/2017,18.253269
6/8/2017,18.21513
6/9/2017,18.161501
6/12/2017,18.12558
6/13/2017,18.056339
6/14/2017,17.94199
6/15/2017,18.03104
6/16/2017,17.898979
6/19/2017,17.978149
6/20/2017,18.207899
6/21/2017,18.23369
6/22/2017,18.1108
6/23/2017,17.993271
6/26/2017,17.9002
6/27/2017,17.960899
6/28/2017,17.83069
6/29/2017,18.027201
6/30/2017,18.113859
7/3/2017,18.180651
